contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
['full-time'],['hybrid work'],"['senior', 'expert']",Warszawa,"['Go', 'Scala', 'JavaScript', 'Java', 'Python', 'R', 'C++']",,['Cloud technologies'],False
['full-time'],['full office work'],['mid'],Bytom,,,"['VBA', 'R', 'Python', 'SQL', 'Microsoft Power BI']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Kraków,"['Kafka', 'Python', 'Airflow', 'PostgreSQL', 'MySQL']",,"['Databrics', 'AWS', 'Snowflake', 'Microsoft Azure', 'BigQuery', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['mid'],Gdańsk,"['Java', 'Python', 'C#', 'Unix', 'C++']",,"['Jenkins', 'Docker', 'CI/CD', 'Kubernetes', 'Linux']",False
['full-time'],"['home office work', 'hybrid work']",['senior'],Katowice,"['Pearl', 'Python', 'Microsoft Azure', 'AWS', 'Bash']","['Windows', 'Linux']","['Linux', 'Red Hat', 'Solaris']",True
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,"['Python', 'Google Cloud Monitoring', 'Scala', 'Java']",,"['Big Query', 'Dataflow', 'Git', 'Kubernetes', 'Big Table', 'Google Cloud Platform']",True
['full-time'],['hybrid work'],['mid'],Łódź,"['Docker', 'Maven', 'IntelliJ', 'Python', 'GoLang', 'Gradle']",['Linux'],"['Spring Boot', 'Git', 'Helm', 'Jira', 'Terraform', 'Java', 'Kubernetes', 'Linux']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['mid'],Wrocław,"['JavaScript', 'Java', 'Python', 'C#', 'Ansible', 'Terraform']",,"['Jenkins', 'Linux']",False
['full-time'],"['hybrid work', 'full office work']",['junior'],Gliwice,"['PHP', 'Ruby', 'Python', 'Perl', 'Bash']","['Windows', 'Linux']","['Docker', 'Visual Studio', 'HTML', 'SQL', 'PostgreSQL', '.NET', 'Visual Studio Code', 'Entity Framework', 'ASP.NET Core MVC', 'React']",False
['full-time'],['home office work'],['mid'],Warszawa,"['AWS', 'Python', 'Azure DevOps', 'Terraform']",,"['Docker', 'Kubernetes']",False
['full-time'],['home office work'],['mid'],Poznań,,,"['Python', 'C#', '.NET', 'Java']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Warszawa,"['Python', 'Machine Learning', 'SAS']","['Windows', 'Linux']","['SQL', 'R']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Kraków,,,"['Python', 'Jira', 'SQL', 'Git']",True
['full-time'],['full office work'],['senior'],Wrocław,,,"['Python', 'SQL', 'R']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Python', 'Bash', 'Groovy']",['Linux'],['Git'],False
['full-time'],['hybrid work'],['senior'],Warszawa,['Windows'],,"['Python', 'Perl', 'SQL']",False
['full-time'],['home office work'],['senior'],Katowice,"['Jenkins', 'Shell', 'Git', 'Python', 'Jira']",['Windows'],['C'],False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Git', 'SAS', 'Python', 'Jira', 'Bitbucket']",,['SQL'],False
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Warszawa,"['Python', 'Bash', 'Data Distribution Service', 'Java']","['Windows', 'Linux']",['C++'],False
['full-time'],['hybrid work'],['expert'],Warszawa,"['IaC', 'Machine Learning', 'Python', 'Google Cloud Platform']","['Windows', 'macOS']","['NoSQL', 'Kubernetes', 'Git', 'SQL', 'Kafka', 'CI/CD', 'Cloud', 'REST API', 'Golang']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Angular', 'TypeScript', 'Python', 'JS', 'React', 'Bash', 'Terraform']",,"['Spring Boot', 'Kafka', 'Maven', 'Java', 'Gradle', 'Kuberentes', 'Spring Framework']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Python', 'Go programming languages', 'Rust']",['Linux'],"['C', 'C++', 'Android', 'Linux', 'Tizen']",False
